iter	Passed	Remaining
0	62	6161
1	65	3198
2	67	2194
3	70	1691
4	72	1386
5	75	1185
6	77	1035
7	80	925
8	83	839
9	85	772
10	88	716
11	91	671
12	94	630
13	96	593
14	99	565
15	102	537
16	105	513
17	108	492
18	110	473
19	113	455
20	116	438
21	119	423
22	121	408
23	124	394
24	127	381
25	129	369
26	132	357
27	134	346
28	137	336
29	140	327
30	142	318
31	145	309
32	149	302
33	151	294
34	154	286
35	156	279
36	159	271
37	161	264
38	164	256
39	166	249
40	168	242
41	170	235
42	173	230
43	175	223
44	178	217
45	180	211
46	182	205
47	184	200
48	187	194
49	189	189
50	191	183
51	193	178
52	195	173
53	198	168
54	200	163
55	202	159
56	204	154
57	206	149
58	209	145
59	211	140
60	213	136
61	215	132
62	218	128
63	220	123
64	222	119
65	224	115
66	226	111
67	228	107
68	230	103
69	233	99
70	235	96
71	237	92
72	239	88
73	242	85
74	244	81
75	247	78
76	249	74
77	251	70
78	253	67
79	256	64
80	258	60
81	261	57
82	263	54
83	266	50
84	268	47
85	270	44
86	272	40
87	275	37
88	277	34
89	279	31
90	281	27
91	283	24
92	286	21
93	288	18
94	290	15
95	292	12
96	295	9
97	297	6
98	299	3
99	301	0
